City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Poum,NC,81.79,overcast clouds,-20.2333,164.0167,Gîte kajeon
1,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
2,Ushuaia,AR,53.26,scattered clouds,-54.8,-68.3,Albatross Hotel
3,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
4,Mataura,NZ,53.47,broken clouds,-46.1927,168.8643,Ellie's Villa
5,Kodiak,US,33.22,light snow,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
6,Rikitea,PF,77.94,broken clouds,-23.1203,-134.9692,People ThankYou
7,Upernavik,GL,1.65,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
8,Namibe,AO,69.58,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
9,Norman Wells,CA,3.22,light snow,65.282,-126.8329,Heritage Hotel
10,Jawhar,SO,75.65,few clouds,2.7809,45.5005,hantiwadaag village part one
11,Mangan,IN,55.71,overcast clouds,27.5167,88.5333,Hotel Mout View
14,Seydi,TM,36.25,clear sky,39.4816,62.9137,Seydi oteli
15,Mount Gambier,AU,60.71,mist,-37.8333,140.7667,The Commodore
16,Bredasdorp,ZA,65.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
18,Cape Town,ZA,69.35,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
19,Bluff,NZ,53.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
20,Kapaa,US,78.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Sao Filipe,CV,75.02,overcast clouds,14.8961,-24.4956,Hotel Xaguate
22,Atuona,PF,77.92,few clouds,-9.8,-139.0333,Villa Enata
23,Andreapol,RU,21.85,light snow,56.6513,32.2664,Gostevoy Dom Uyut
24,Port Alfred,ZA,70.07,overcast clouds,-33.5906,26.891,The Halyards Hotel
