City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Poum,NC,2022-01-06 21:13:09,overcast clouds,-20.2333,164.0167,81.79,75,94,5.48
1,Carnarvon,AU,2022-01-06 21:11:06,broken clouds,-24.8667,113.6333,78.87,73,67,12.66
2,Ushuaia,AR,2022-01-06 21:13:10,scattered clouds,-54.8,-68.3,53.26,62,40,29.93
3,Bambous Virieux,MU,2022-01-06 21:13:10,broken clouds,-20.3428,57.7575,75.45,94,75,3.44
4,Mataura,NZ,2022-01-06 21:13:11,broken clouds,-46.1927,168.8643,53.47,61,66,4.94
5,Kodiak,US,2022-01-06 21:13:11,light snow,57.79,-152.4072,33.22,92,100,5.23
6,Rikitea,PF,2022-01-06 21:13:12,broken clouds,-23.1203,-134.9692,77.94,72,69,13.8
7,Upernavik,GL,2022-01-06 21:12:57,overcast clouds,72.7868,-56.1549,1.65,99,100,6.33
8,Namibe,AO,2022-01-06 21:13:13,overcast clouds,-15.1961,12.1522,69.58,81,100,5.48
9,Norman Wells,CA,2022-01-06 21:13:13,light snow,65.282,-126.8329,3.22,92,100,18.7
10,Jawhar,SO,2022-01-06 21:13:14,few clouds,2.7809,45.5005,75.65,82,14,14.94
11,Mangan,IN,2022-01-06 21:13:15,overcast clouds,27.5167,88.5333,55.71,54,90,5.77
12,Kysyl-Syr,RU,2022-01-06 21:13:16,broken clouds,63.8986,122.7617,-32.75,95,83,5.91
13,Albany,US,2022-01-06 21:10:27,overcast clouds,42.6001,-73.9662,31.26,69,100,6.73
14,Seydi,TM,2022-01-06 21:13:16,clear sky,39.4816,62.9137,36.25,69,0,5.1
15,Mount Gambier,AU,2022-01-06 21:13:17,mist,-37.8333,140.7667,60.71,100,100,9.22
16,Bredasdorp,ZA,2022-01-06 21:13:17,overcast clouds,-34.5322,20.0403,65.28,84,100,12.44
17,Kenai,US,2022-01-06 21:13:18,light snow,60.5544,-151.2583,-2.9,80,0,5.75
18,Cape Town,ZA,2022-01-06 21:12:24,scattered clouds,-33.9258,18.4232,69.35,62,41,5.01
19,Bluff,NZ,2022-01-06 21:13:18,overcast clouds,-46.6,168.3333,53.8,74,94,11.56
20,Kapaa,US,2022-01-06 21:13:19,clear sky,22.0752,-159.319,78.19,75,0,1.01
21,Sao Filipe,CV,2022-01-06 21:13:19,overcast clouds,14.8961,-24.4956,75.02,65,100,11.34
22,Atuona,PF,2022-01-06 21:13:19,few clouds,-9.8,-139.0333,77.92,76,14,15.08
23,Andreapol,RU,2022-01-06 21:13:20,light snow,56.6513,32.2664,21.85,92,99,9.35
24,Port Alfred,ZA,2022-01-06 21:13:20,overcast clouds,-33.5906,26.891,70.07,88,98,18.57
25,Sasovo,RU,2022-01-06 21:13:21,overcast clouds,54.3537,41.9199,31.75,93,100,10.71
26,Sao Raimundo Nonato,BR,2022-01-06 21:13:21,light rain,-9.0153,-42.6994,75.11,89,99,2.68
27,Khatanga,RU,2022-01-06 21:13:21,overcast clouds,71.9667,102.5,-19.14,99,100,4.88
28,Mar Del Plata,AR,2022-01-06 21:13:22,overcast clouds,-38.0023,-57.5575,70.88,83,100,21.99
29,Provideniya,RU,2022-01-06 21:13:22,clear sky,64.3833,-173.3,12.76,84,3,9.91
30,Pitimbu,BR,2022-01-06 21:13:22,few clouds,-7.4706,-34.8086,81.19,73,20,10.4
31,Henties Bay,NA,2022-01-06 21:13:25,clear sky,-22.116,14.2845,61.86,95,4,5.26
32,Port Elizabeth,ZA,2022-01-06 21:13:25,light rain,-33.918,25.5701,69.1,90,100,15.55
33,Leningradskiy,RU,2022-01-06 21:13:26,broken clouds,69.3833,178.4167,-7.74,92,60,3.56
34,Beringovskiy,RU,2022-01-06 21:13:26,few clouds,63.05,179.3167,3.51,91,24,10.38
35,Butaritari,KI,2022-01-06 21:13:27,scattered clouds,3.0707,172.7902,82.26,76,31,16.02
36,Hami,CN,2022-01-06 21:13:27,overcast clouds,42.8,93.45,24.12,40,100,1.25
37,Rocha,UY,2022-01-06 21:13:27,clear sky,-34.4833,-54.3333,72.59,47,0,12.84
38,Porto Novo,BJ,2022-01-06 21:13:28,clear sky,6.4965,2.6036,81.18,71,6,7.38
39,Ribeira Grande,PT,2022-01-06 21:13:28,few clouds,38.5167,-28.7,55.8,67,20,13.8
40,Kargasok,RU,2022-01-06 21:13:28,scattered clouds,59.0556,80.8572,-17.9,99,47,5.88
41,Punta Arenas,CL,2022-01-06 21:13:29,few clouds,-53.15,-70.9167,62.71,31,20,24.16
42,Aswan,EG,2022-01-06 21:13:29,overcast clouds,24.0934,32.907,64.92,35,90,5.93
43,Tasiilaq,GL,2022-01-06 21:13:29,overcast clouds,65.6145,-37.6368,41.16,60,100,32.28
44,Mitsamiouli,KM,2022-01-06 21:13:30,overcast clouds,-11.3847,43.2844,83.34,73,100,6.02
45,Port Blair,IN,2022-01-06 21:13:13,scattered clouds,11.6667,92.75,78.31,78,31,8.63
46,Atar,MR,2022-01-06 21:13:30,broken clouds,20.5169,-13.0499,64.6,28,71,8.81
47,Vaini,TO,2022-01-06 21:13:30,scattered clouds,-21.2,-175.2,84.36,89,40,10.36
48,Black Forest,US,2022-01-06 21:13:31,few clouds,39.0131,-104.7008,33.84,53,20,3.0
49,Luderitz,NA,2022-01-06 21:13:31,clear sky,-26.6481,15.1594,63.91,74,0,17.56
50,New Norfolk,AU,2022-01-06 21:13:31,overcast clouds,-42.7826,147.0587,66.65,89,100,1.57
51,Mecca,SA,2022-01-06 21:13:32,broken clouds,21.4267,39.8261,72.09,72,54,2.89
52,Airai,TL,2022-01-06 21:13:32,light rain,-8.9266,125.4092,60.69,93,100,1.3
53,Alofi,NU,2022-01-06 21:13:33,light intensity drizzle,-19.0595,-169.9187,80.49,83,75,3.44
54,Eyl,SO,2022-01-06 21:13:33,overcast clouds,7.9803,49.8164,77.02,73,95,18.5
55,Barrow,US,2022-01-06 21:13:33,clear sky,71.2906,-156.7887,-7.58,77,0,6.91
